string dom time hits
35 27 2484.50610352 1
44 21 1685.66015625 1
44 26 2265.30908203 1
44 27 2818.61279297 1
44 28 2066.93432617 1
44 31 2324.50390625 1
45 21 2094.67016602 1
45 24 1803.93481445 1
45 25 1735.00390625 1
45 25 1802.2310791 1
45 26 2014.19799805 1
45 26 2139.2590332 1
45 27 1281.94506836 1
45 27 1309.2442627 1
45 28 1459.59619141 1
45 28 1501.86242676 1
45 28 1546.80065918 1
45 28 1703.26647949 1
45 28 1706.94641113 1
45 28 1982.54931641 1
45 28 2047.24755859 1
45 28 2436.65161133 1
45 29 1343.31140137 1
45 29 2287.80761719 1
45 30 1476.58618164 1
46 23 2451.5612793 1
46 23 3119.55297852 1
46 26 1711.08618164 1
46 32 1558.92932129 1
47 22 3049.95556641 1
47 29 2715.09692383 1
52 29 1968.6081543 1
53 17 4222.25439453 1
53 20 2205.49121094 1
53 24 1762.27661133 1
53 26 1612.86804199 1
53 26 1895.49768066 1
53 26 2068.47558594 1
53 26 2253.09619141 1
53 27 1392.76000977 1
53 27 1741.53723145 1
53 28 1309.74487305 1
53 28 1396.26599121 1
53 28 1495.91552734 1
53 28 1826.14221191 1
53 28 1958.93566895 1
53 28 2066.44995117 1
53 28 2311.97998047 1
53 28 2458.40185547 1
53 29 1288.75830078 1
53 29 1494.87365723 1
53 29 1644.55944824 1
53 29 1801.07250977 1
53 29 1933.93591309 1
53 29 2229.18920898 1
53 30 1780.92504883 1
53 31 1990.06555176 1
54 18 1574.81054688 1
54 18 1790.03991699 1
54 18 1800.87304688 1
54 19 1466.35913086 1
54 19 1629.73242188 1
54 20 2704.17480469 1
54 21 1199.81152344 1
54 21 1461.9609375 1
54 21 1499.75195312 1
54 21 1640.42810059 1
54 22 1107.17297363 1
54 22 1192.22241211 1
54 22 1196.77978516 1
54 22 1207.81835938 1
54 22 1265.78076172 1
54 22 1493.59338379 1
54 22 1614.97680664 1
54 22 1669.56738281 1
54 22 1826.20861816 1
54 22 1861.67041016 1
54 22 1997.18225098 1
54 23 898.161743164 1
54 23 1098.43481445 1
54 23 1102.671875 1
54 23 1149.91906738 1
54 23 1155.05102539 1
54 23 1215.66870117 1
54 23 1228.26379395 1
54 23 1381.41015625 1
54 23 1503.66027832 1
54 23 1544.64562988 1
54 23 1558.83776855 1
54 23 1634.99462891 1
54 23 1719.17004395 1
54 23 1739.04968262 1
54 23 2090.53881836 1
54 24 894.837463379 1
54 24 1025.42211914 1
54 24 1033.80493164 1
54 24 1065.53430176 1
54 24 1178.85437012 1
54 24 1234.96374512 1
54 24 1343.37023926 1
54 24 1347.24951172 1
54 24 1364.88879395 1
54 24 1477.58435059 1
54 24 1754.01049805 1
54 24 1815.49841309 1
54 24 2045.57836914 1
54 24 2316.85864258 1
54 24 3061.3112793 1
54 25 808.750061035 1
54 25 857.01550293 1
54 25 881.777038574 1
54 25 938.422790527 1
54 25 940.311340332 1
54 25 948.969055176 1
54 25 983.046691895 1
54 25 987.58392334 1
54 25 1023.36578369 1
54 25 1023.67358398 1
54 25 1038.09106445 1
54 25 1061.74768066 1
54 25 1076.67480469 1
54 25 1114.59680176 1
54 25 1133.96179199 1
54 25 1138.21533203 1
54 25 1167.98742676 1
54 25 1301.3347168 1
54 25 1539.36547852 1
54 25 1547.51220703 1
54 25 1585.10290527 1
54 25 1632.5892334 1
54 25 1695.34533691 1
54 25 1783.0213623 1
54 25 2068.72973633 1
54 26 752.925537109 1
54 26 753.532836914 1
54 26 758.452819824 1
54 26 777.437866211 1
54 26 784.546508789 1
54 26 787.503417969 1
54 26 791.004455566 1
54 26 793.75793457 1
54 26 795.890686035 1
54 26 817.166625977 1
54 26 820.592224121 1
54 26 850.379699707 1
54 26 850.843078613 1
54 26 854.328308105 1
54 26 882.826660156 1
54 26 887.364440918 1
54 26 890.519348145 1
54 26 892.493103027 1
54 26 897.476745605 1
54 26 897.775268555 1
54 26 898.778320312 1
54 26 902.198913574 1
54 26 905.684936523 1
54 26 912.349609375 1
54 26 918.737609863 1
54 26 922.032653809 1
54 26 933.538391113 1
54 26 936.532470703 1
54 26 947.566894531 1
54 26 952.072387695 1
54 26 959.549987793 1
54 26 960.631530762 1
54 26 966.800292969 1
54 26 972.928894043 1
54 26 985.487976074 1
54 26 986.423706055 1
54 26 995.695983887 1
54 26 1003.97613525 1
54 26 1010.68688965 1
54 26 1019.63568115 1
54 26 1037.96020508 1
54 26 1049.90258789 1
54 26 1066.41577148 1
54 26 1105.7253418 1
54 26 1138.94030762 1
54 26 1152.97973633 1
54 26 1164.57800293 1
54 26 1182.9276123 1
54 26 1194.8671875 1
54 26 1201.5559082 1
54 26 1239.70654297 1
54 26 1261.69238281 1
54 26 1263.8046875 1
54 26 1335.79260254 1
54 26 1371.26733398 1
54 26 1385.9161377 1
54 26 1421.92993164 1
54 26 1573.81896973 1
54 26 1649.62072754 1
54 26 1693.29016113 1
54 26 1732.50012207 1
54 26 1769.33825684 1
54 26 1901.1739502 1
54 26 1949.11889648 1
54 26 2015.77392578 1
54 26 2080.66162109 1
54 26 2150.61303711 1
54 26 2602.09692383 1
54 27 675.938171387 1
54 27 710.887817383 1
54 27 714.158569336 1
54 27 730.525268555 1
54 27 734.68762207 1
54 27 735.919555664 1
54 27 743.885437012 1
54 27 746.045715332 1
54 27 746.685424805 1
54 27 761.750305176 1
54 27 761.869873047 1
54 27 770.76348877 1
54 27 790.258056641 1
54 27 802.39074707 1
54 27 807.936157227 1
54 27 811.651611328 1
54 27 817.361450195 1
54 27 822.123291016 1
54 27 825.670959473 1
54 27 827.236328125 1
54 27 828.605712891 1
54 27 838.74017334 1
54 27 839.3984375 1
54 27 839.451049805 1
54 27 839.472167969 1
54 27 844.097839355 1
54 27 849.096496582 1
54 27 849.698547363 1
54 27 866.437561035 1
54 27 891.964111328 1
54 27 906.447814941 1
54 27 912.235107422 1
54 27 932.122070312 1
54 27 939.455566406 1
54 27 948.196655273 1
54 27 958.75958252 1
54 27 976.319152832 1
54 27 977.155883789 1
54 27 980.897705078 1
54 27 1003.27630615 1
54 27 1021.88494873 1
54 27 1026.3416748 1
54 27 1026.39074707 1
54 27 1027.66186523 1
54 27 1037.90490723 1
54 27 1057.21154785 1
54 27 1067.19934082 1
54 27 1072.38110352 1
54 27 1111.85961914 1
54 27 1119.50964355 1
54 27 1133.85742188 1
54 27 1142.77990723 1
54 27 1156.98168945 1
54 27 1162.55224609 1
54 27 1163.42358398 1
54 27 1179.37353516 1
54 27 1183.75537109 1
54 27 1207.20214844 1
54 27 1227.59094238 1
54 27 1244.79821777 1
54 27 1259.91638184 1
54 27 1260.7434082 1
54 27 1264.63842773 1
54 27 1272.74963379 1
54 27 1278.20007324 1
54 27 1281.01391602 1
54 27 1315.28588867 1
54 27 1322.67114258 1
54 27 1336.10290527 1
54 27 1367.73254395 1
54 27 1475.61291504 1
54 27 1475.7689209 1
54 27 1505.68066406 1
54 27 1750.16931152 1
54 27 1794.82275391 1
54 27 2062.88256836 1
54 27 2125.203125 1
54 28 654.146911621 1
54 28 674.368286133 1
54 28 689.392150879 1
54 28 695.946533203 1
54 28 700.211303711 1
54 28 704.656555176 1
54 28 708.566467285 1
54 28 708.991882324 1
54 28 710.369689941 1
54 28 716.081420898 1
54 28 716.758972168 1
54 28 722.93762207 1
54 28 726.346984863 1
54 28 730.925964355 1
54 28 736.868225098 1
54 28 741.92791748 1
54 28 742.684204102 1
54 28 743.467224121 1
54 28 745.81652832 1
54 28 747.873718262 1
54 28 758.409729004 1
54 28 764.230651855 1
54 28 765.217102051 1
54 28 767.835693359 1
54 28 768.103149414 1
54 28 778.183044434 1
54 28 780.739868164 1
54 28 783.417785645 1
54 28 786.52734375 1
54 28 787.562438965 1
54 28 797.211486816 1
54 28 799.526000977 1
54 28 799.530395508 1
54 28 801.473205566 1
54 28 804.833007812 1
54 28 806.451721191 1
54 28 812.915222168 1
54 28 817.577575684 1
54 28 820.981201172 1
54 28 822.407653809 1
54 28 827.777099609 1
54 28 828.715942383 1
54 28 833.473571777 1
54 28 834.533813477 1
54 28 843.991088867 1
54 28 845.262268066 1
54 28 846.690490723 1
54 28 850.949645996 1
54 28 867.138793945 1
54 28 874.739013672 1
54 28 883.953186035 1
54 28 889.195922852 1
54 28 891.3984375 1
54 28 897.437194824 1
54 28 902.082702637 1
54 28 909.830505371 1
54 28 912.385131836 1
54 28 912.862976074 1
54 28 914.883972168 1
54 28 924.301757812 1
54 28 925.374267578 1
54 28 932.201843262 1
54 28 936.442687988 1
54 28 938.168029785 1
54 28 941.711914062 1
54 28 941.754211426 1
54 28 942.911499023 1
54 28 947.028503418 1
54 28 961.950378418 1
54 28 965.692810059 1
54 28 974.801818848 1
54 28 974.903747559 1
54 28 989.467834473 1
54 28 1005.06164551 1
54 28 1008.51818848 1
54 28 1019.23876953 1
54 28 1028.08410645 1
54 28 1029.08483887 1
54 28 1030.68310547 1
54 28 1038.53759766 1
54 28 1043.39819336 1
54 28 1046.27392578 1
54 28 1055.9251709 1
54 28 1058.78759766 1
54 28 1058.85327148 1
54 28 1070.00146484 1
54 28 1080.55725098 1
54 28 1080.87243652 1
54 28 1087.65808105 1
54 28 1120.58435059 1
54 28 1141.72521973 1
54 28 1157.41662598 1
54 28 1165.71435547 1
54 28 1204.06567383 1
54 28 1240.28259277 1
54 28 1240.34008789 1
54 28 1245.24365234 1
54 28 1270.47924805 1
54 28 1284.26281738 1
54 28 1322.61499023 1
54 28 1325.72424316 1
54 28 1347.03210449 1
54 28 1362.87817383 1
54 28 1398.09448242 1
54 28 1405.01367188 1
54 28 1405.83251953 1
54 28 1414.57287598 1
54 28 1416.53601074 1
54 28 1426.98461914 1
54 28 1437.93005371 1
54 28 1635.75695801 1
54 28 1683.98583984 1
54 28 1905.49414062 1
54 28 3275.11669922 1
54 29 637.436340332 1
54 29 667.561950684 1
54 29 670.850585938 1
54 29 672.587768555 1
54 29 674.590454102 1
54 29 682.000427246 1
54 29 689.601318359 1
54 29 690.288330078 1
54 29 711.81854248 1
54 29 729.309997559 1
54 29 745.862976074 1
54 29 746.52355957 1
54 29 751.200622559 1
54 29 753.543640137 1
54 29 764.347595215 1
54 29 772.695678711 1
54 29 780.946655273 1
54 29 785.321228027 1
54 29 785.65612793 1
54 29 785.675537109 1
54 29 791.481262207 1
54 29 794.196105957 1
54 29 798.642578125 1
54 29 800.93548584 1
54 29 801.534790039 1
54 29 803.169921875 1
54 29 804.721618652 1
54 29 805.613708496 1
54 29 807.577697754 1
54 29 813.594055176 1
54 29 826.779418945 1
54 29 831.736877441 1
54 29 833.149536133 1
54 29 833.559326172 1
54 29 840.535644531 1
54 29 843.253417969 1
54 29 846.446777344 1
54 29 849.996398926 1
54 29 856.968505859 1
54 29 873.65802002 1
54 29 887.74407959 1
54 29 889.110534668 1
54 29 895.597412109 1
54 29 902.787475586 1
54 29 904.563781738 1
54 29 906.156494141 1
54 29 906.25390625 1
54 29 910.184814453 1
54 29 917.066467285 1
54 29 928.99786377 1
54 29 931.968994141 1
54 29 933.205444336 1
54 29 946.716125488 1
54 29 951.543212891 1
54 29 955.092712402 1
54 29 958.218994141 1
54 29 958.301086426 1
54 29 959.841064453 1
54 29 961.610717773 1
54 29 965.053894043 1
54 29 969.605651855 1
54 29 985.97869873 1
54 29 1001.41278076 1
54 29 1002.86260986 1
54 29 1008.9309082 1
54 29 1026.75744629 1
54 29 1041.2467041 1
54 29 1055.98779297 1
54 29 1097.50231934 1
