string dom time hits
43 31 3094.98999023 1
44 20 2118.04248047 1
44 25 2202.10473633 1
44 25 2445.55688477 1
44 27 1366.55480957 1
44 27 1887.71203613 1
44 28 1637.52880859 1
44 28 1662.35009766 1
44 29 1596.08190918 1
44 32 2948.63769531 1
45 21 2211.89404297 1
45 22 1609.41796875 1
45 22 2721.6472168 1
45 22 2772.1315918 1
45 23 2445.17529297 1
45 24 1790.70629883 1
45 24 3225.56054688 1
45 25 1530.71166992 1
45 25 1812.85375977 1
45 26 1332.12573242 1
45 26 1946.01904297 1
45 27 2776.72973633 1
45 28 1432.97717285 1
45 28 1485.08410645 1
45 28 1549.1986084 1
45 28 1921.76159668 1
45 29 1295.70947266 1
45 29 1401.31323242 1
45 29 1795.78430176 1
45 30 1589.33886719 1
45 30 1731.72119141 1
45 31 1757.17236328 1
45 31 1997.55444336 1
45 31 2053.8737793 1
45 31 2930.18920898 1
45 32 1977.10205078 1
46 23 1863.14257812 1
46 24 2909.15820312 1
46 25 2361.56176758 1
46 26 1978.2545166 1
46 28 1734.61242676 1
46 29 1554.84423828 1
46 30 1391.85375977 1
46 31 2328.81665039 1
47 23 3159.12548828 1
47 24 2522.48364258 1
47 28 1815.15808105 1
47 31 2139.2421875 1
53 20 3061.32568359 1
53 27 1307.89477539 1
53 27 1392.29528809 1
53 27 1537.40820312 1
53 27 1574.58508301 1
53 27 1647.49645996 1
53 28 1227.35388184 1
53 28 1472.1439209 1
53 28 1542.50024414 1
53 28 1700.91784668 1
53 28 2006.70776367 1
53 29 1134.9206543 1
53 29 1428.93005371 1
53 29 1554.86999512 1
53 29 1646.42944336 1
53 30 1209.60595703 1
53 31 1361.30358887 1
53 31 1458.78100586 1
53 31 1542.10644531 1
53 31 1627.84143066 1
54 17 2540.78393555 1
54 18 2011.71679688 1
54 19 1918.71777344 1
54 20 1264.25720215 1
54 20 1452.91015625 1
54 20 1768.54748535 1
54 20 1868.13000488 1
54 20 3546.98388672 1
54 21 1308.5291748 1
54 21 1441.60498047 1
54 21 1515.12524414 1
54 21 1646.77502441 1
54 21 1681.8918457 1
54 21 1912.29980469 1
54 22 1202.06018066 1
54 22 1239.29309082 1
54 22 1354.36987305 1
54 22 1366.41137695 1
54 22 1386.61621094 1
54 22 1415.72106934 1
54 22 1513.22912598 1
54 22 1707.80529785 1
54 22 1844.21899414 1
54 22 2225.60595703 1
54 22 2302.23120117 1
54 22 2501.91210938 1
54 23 1119.46313477 1
54 23 1144.35412598 1
54 23 1304.98852539 1
54 23 1715.33325195 1
54 23 1719.36633301 1
54 23 2054.94873047 1
54 23 2417.44238281 1
54 23 2819.37109375 1
54 24 813.924316406 1
54 24 920.527770996 1
54 24 933.353149414 1
54 24 954.750305176 1
54 24 957.53503418 1
54 24 964.383605957 1
54 24 973.901611328 1
54 24 1028.01794434 1
54 24 1046.18371582 1
54 24 1049.60351562 1
54 24 1071.7598877 1
54 24 1080.85083008 1
54 24 1124.17944336 1
54 24 1135.03088379 1
54 24 1162.04345703 1
54 24 1200.83654785 1
54 24 1201.15795898 1
54 24 1212.05444336 1
54 24 1237.60510254 1
54 24 1259.96435547 1
54 24 1289.32800293 1
54 24 1301.69580078 1
54 24 1309.98120117 1
54 24 1402.79382324 1
54 24 1417.48620605 1
54 24 1435.18249512 1
54 24 1444.36987305 1
54 24 1572.13745117 1
54 24 1677.7512207 1
54 24 1757.81103516 1
54 24 1788.38842773 1
54 25 810.211364746 1
54 25 855.885375977 1
54 25 857.389038086 1
54 25 878.187683105 1
54 25 889.011474609 1
54 25 923.872192383 1
54 25 924.050598145 1
54 25 932.709777832 1
54 25 994.205932617 1
54 25 995.001342773 1
54 25 1038.66430664 1
54 25 1039.20568848 1
54 25 1041.80383301 1
54 25 1071.67456055 1
54 25 1085.72668457 1
54 25 1089.39941406 1
54 25 1091.44592285 1
54 25 1107.53295898 1
54 25 1116.37268066 1
54 25 1128.11010742 1
54 25 1163.72290039 1
54 25 1222.94970703 1
54 25 1235.71520996 1
54 25 1256.40856934 1
54 25 1259.28588867 1
54 25 1640.94006348 1
54 25 2020.27526855 1
54 25 2711.27392578 1
54 26 781.818115234 1
54 26 782.149658203 1
54 26 794.904174805 1
54 26 797.315429688 1
54 26 812.632202148 1
54 26 815.58996582 1
54 26 831.682189941 1
54 26 836.817016602 1
54 26 838.919067383 1
54 26 844.416992188 1
54 26 860.843933105 1
54 26 867.672973633 1
54 26 870.822937012 1
54 26 883.266723633 1
54 26 895.834777832 1
54 26 902.07232666 1
54 26 926.761413574 1
54 26 945.523010254 1
54 26 947.702453613 1
54 26 956.171447754 1
54 26 957.661254883 1
54 26 958.996520996 1
54 26 959.662475586 1
54 26 964.039978027 1
54 26 981.977905273 1
54 26 988.271972656 1
54 26 1008.80273438 1
54 26 1014.32385254 1
54 26 1018.0289917 1
54 26 1019.90008545 1
54 26 1025.70983887 1
54 26 1029.07519531 1
54 26 1065.83251953 1
54 26 1067.82922363 1
54 26 1069.08679199 1
54 26 1075.63476562 1
54 26 1134.40991211 1
54 26 1148.4161377 1
54 26 1160.4666748 1
54 26 1196.09814453 1
54 26 1211.13684082 1
54 26 1218.3260498 1
54 26 1221.48974609 1
54 26 1222.18041992 1
54 26 1252.32043457 1
54 26 1291.97363281 1
54 26 1307.16381836 1
54 26 1330.51550293 1
54 26 1352.3125 1
54 26 1362.18981934 1
54 26 1389.21557617 1
54 26 1480.49731445 1
54 26 1489.51147461 1
54 26 1572.2175293 1
54 26 1710.64233398 1
54 26 1741.74291992 1
54 26 1795.2199707 1
54 26 1870.0345459 1
54 26 1959.76708984 1
54 27 690.545898438 1
54 27 711.222229004 1
54 27 729.662231445 1
54 27 743.747253418 1
54 27 763.323974609 1
54 27 782.039123535 1
54 27 789.035217285 1
54 27 802.36340332 1
54 27 803.833557129 1
54 27 814.024169922 1
54 27 814.398376465 1
54 27 819.499084473 1
54 27 819.687255859 1
54 27 826.643554688 1
54 27 826.67980957 1
54 27 827.883728027 1
54 27 835.227355957 1
54 27 840.844055176 1
54 27 842.946472168 1
54 27 845.221313477 1
54 27 856.270385742 1
54 27 860.513366699 1
54 27 866.533996582 1
54 27 869.555908203 1
54 27 878.130737305 1
54 27 883.242797852 1
54 27 898.664855957 1
54 27 906.067138672 1
54 27 906.802490234 1
54 27 923.96472168 1
54 27 938.042297363 1
54 27 942.67767334 1
54 27 953.38092041 1
54 27 961.478210449 1
54 27 968.755737305 1
54 27 968.789672852 1
54 27 974.598022461 1
54 27 981.104309082 1
54 27 983.447143555 1
54 27 986.397888184 1
54 27 987.920959473 1
54 27 994.844360352 1
54 27 995.031433105 1
54 27 1000.24938965 1
54 27 1006.28631592 1
54 27 1019.33813477 1
54 27 1024.79748535 1
54 27 1033.02185059 1
54 27 1034.74914551 1
54 27 1057.45727539 1
54 27 1072.29492188 1
54 27 1077.58447266 1
54 27 1080.59814453 1
54 27 1099.41357422 1
54 27 1123.77331543 1
54 27 1134.4732666 1
54 27 1148.32580566 1
54 27 1151.49084473 1
54 27 1154.28918457 1
54 27 1186.23669434 1
54 27 1188.13256836 1
54 27 1210.36450195 1
54 27 1216.76501465 1
54 27 1229.20703125 1
54 27 1268.48632812 1
54 27 1302.54394531 1
54 27 1305.13635254 1
54 27 1322.80810547 1
54 27 1353.26708984 1
54 27 1364.56787109 1
54 27 1426.79406738 1
54 27 1480.31237793 1
54 27 1638.30908203 1
54 27 1818.08532715 1
54 27 2007.55163574 1
54 27 2173.38500977 1
54 27 2350.88256836 1
54 28 659.162902832 1
54 28 687.234558105 1
54 28 689.698730469 1
54 28 692.257385254 1
54 28 696.204956055 1
54 28 697.455993652 1
54 28 711.041870117 1
54 28 716.646728516 1
54 28 724.901428223 1
54 28 725.05065918 1
54 28 725.628723145 1
54 28 727.252319336 1
54 28 729.154785156 1
54 28 733.265563965 1
54 28 739.99798584 1
54 28 741.20489502 1
54 28 741.424621582 1
54 28 745.368408203 1
54 28 746.656433105 1
54 28 748.808654785 1
54 28 750.410095215 1
54 28 758.662536621 1
54 28 760.803955078 1
54 28 762.978393555 1
54 28 773.663330078 1
54 28 774.338134766 1
54 28 775.189819336 1
54 28 784.596984863 1
54 28 785.58190918 1
54 28 786.281494141 1
54 28 787.467529297 1
54 28 790.026306152 1
54 28 790.038696289 1
54 28 797.111999512 1
54 28 800.553588867 1
54 28 810.839477539 1
54 28 811.41418457 1
54 28 812.16192627 1
54 28 818.162231445 1
54 28 826.393127441 1
54 28 828.669921875 1
54 28 829.049499512 1
54 28 829.556091309 1
54 28 830.057434082 1
54 28 834.90057373 1
54 28 838.613464355 1
54 28 845.850341797 1
54 28 845.987243652 1
54 28 848.09576416 1
54 28 853.774169922 1
54 28 859.551635742 1
54 28 877.413330078 1
54 28 877.829467773 1
54 28 879.32043457 1
54 28 881.019226074 1
54 28 883.858703613 1
54 28 887.055786133 1
54 28 898.854736328 1
54 28 900.205444336 1
54 28 915.506164551 1
54 28 918.863464355 1
54 28 920.695617676 1
54 28 920.803955078 1
54 28 935.665039062 1
54 28 941.474731445 1
54 28 954.213195801 1
54 28 955.958251953 1
54 28 958.633117676 1
54 28 963.515563965 1
54 28 964.417297363 1
54 28 971.242614746 1
54 28 973.015197754 1
54 28 984.518249512 1
54 28 1003.44390869 1
54 28 1006.01568604 1
54 28 1019.81610107 1
54 28 1046.53222656 1
54 28 1084.71032715 1
54 28 1096.82397461 1
54 28 1097.79541016 1
54 28 1104.70019531 1
54 28 1106.18835449 1
54 28 1132.63256836 1
54 28 1138.72766113 1
54 28 1168.35339355 1
54 28 1170.04199219 1
54 28 1172.80554199 1
54 28 1179.51647949 1
54 28 1187.42419434 1
54 28 1200.15136719 1
54 28 1229.29296875 1
54 28 1251.92834473 1
54 28 1255.71313477 1
54 28 1260.17260742 1
54 28 1267.35717773 1
54 28 1281.84887695 1
54 28 1298.765625 1
54 28 1318.21057129 1
54 28 1388.76635742 1
54 28 1464.53173828 1
54 28 1549.98852539 1
54 28 1554.26623535 1
54 28 1758.35058594 1
54 28 1782.17504883 1
54 28 1829.85083008 1
54 28 1873.96459961 1
54 28 2074.33984375 1
54 28 2085.85449219 1
54 28 2404.35253906 1
54 29 659.341125488 1
54 29 667.294311523 1
54 29 674.527709961 1
54 29 677.821533203 1
54 29 680.58215332 1
54 29 702.264526367 1
54 29 703.878356934 1
54 29 710.315673828 1
54 29 711.092102051 1
54 29 712.419616699 1
54 29 717.078430176 1
54 29 721.346923828 1
54 29 728.272583008 1
54 29 733.39440918 1
54 29 736.693115234 1
54 29 750.265930176 1
54 29 755.802062988 1
54 29 759.396606445 1
54 29 765.064819336 1
54 29 777.435791016 1
54 29 782.731506348 1
54 29 800.045227051 1
54 29 802.961120605 1
54 29 804.137878418 1
54 29 810.907104492 1
54 29 827.87677002 1
54 29 832.67175293 1
54 29 832.863525391 1
54 29 839.264953613 1
54 29 858.821411133 1
54 29 860.150512695 1
54 29 865.104553223 1
54 29 868.06640625 1
54 29 875.842895508 1
54 29 885.029602051 1
54 29 900.657531738 1
54 29 902.890319824 1
54 29 912.5 1
54 29 915.944580078 1
54 29 940.741821289 1
54 29 947.271789551 1
54 29 960.840515137 1
54 29 965.304260254 1
54 29 966.931091309 1
54 29 975.155395508 1
54 29 988.908325195 1
54 29 993.321411133 1
54 29 1005.6953125 1
54 29 1008.89678955 1
54 29 1011.6673584 1
54 29 1014.52099609 1
54 29 1037.69287109 1
54 29 1048.18579102 1
54 29 1055.59338379 1
54 29 1061.56225586 1
54 29 1090.2154541 1
54 29 1115.97619629 1
54 29 1120.29467773 1
54 29 1135.72790527 1
54 29 1147.25073242 1
54 29 1154.53625488 1
54 29 1169.7590332 1
54 29 1194.60681152 1
54 29 1204.3572998 1
54 29 1207.51159668 1
54 29 1211.91918945 1
54 29 1234.37609863 1
54 29 1246.97338867 1
54 29 1260.86206055 1
54 29 1271.94116211 1
54 29 1281.68896484 1
54 29 1295.93835449 1
54 29 1300.47509766 1
54 29 1312.49829102 1
54 29 1342.82141113 1
54 29 1377.30212402 1
54 29 1403.27954102 1
54 29 1410.28503418 1
54 29 1438.79052734 1
54 29 1441.99560547 1
54 29 1453.61950684 1
54 29 1470.25146484 1
54 29 1472.66088867 1
54 29 1474.1529541 1
54 29 1551.90283203 1
54 29 1709.28613281 1
54 29 1739.80847168 1
54 29 1818.43811035 1
54 29 2022.98913574 1
54 29 2028.31054688 1
54 29 2033.06665039 1
54 30 662.135253906 1
54 30 693.78515625 1
54 30 700.702270508 1
54 30 704.303588867 1
54 30 707.666687012 1
54 30 730.395874023 1
54 30 734.105957031 1
54 30 741.415344238 1
54 30 756.547912598 1
54 30 775.438293457 1
54 30 777.445678711 1
54 30 785.640258789 1
54 30 786.285766602 1
54 30 794.815734863 1
54 30 814.646972656 1
54 30 819.417907715 1
54 30 821.756713867 1
54 30 822.43737793 1
54 30 837.748474121 1
54 30 860.919067383 1
54 30 881.113891602 1
54 30 902.353942871 1
54 30 913.370666504 1
54 30 922.315246582 1
54 30 924.017150879 1
54 30 925.597961426 1
54 30 926.351135254 1
54 30 928.795532227 1
54 30 939.929077148 1
54 30 948.738464355 1
54 30 973.807250977 1
54 30 979.379882812 1
