effective_scattering_length hole_ice_radius_in_dom_radii agreement duration
1.45 1.6 77.9053863404 535.0
1.45 1.7 78.8009039976 563.0
1.4 0.8 66.8138715009 507.0
1.4 0.9 48.3430320401 496.0
1.4 1.0 39.4040965622 518.0
1.4 1.1 58.5328931388 499.0
1.4 1.2 62.041100043 486.0
1.4 1.3 59.5854550888 509.0
1.4 1.4 46.7507466656 516.0
1.4 1.5 68.1625434839 484.0
1.4 1.6 54.7368842163 570.0
1.4 1.7 67.2813691271 547.0
1.55 0.8 66.4185441617 545.0
1.55 0.9 58.1136545076 556.0
1.55 1.0 50.2066039248 554.0
1.55 1.1 42.2702460567 589.0
1.55 1.2 43.6307844286 554.0
1.55 1.3 49.0533651421 580.0
1.55 1.4 46.0980472692 676.0
1.55 1.5 65.1168087034 899.0
1.55 1.6 72.3527129223 803.0
1.55 1.7 61.285295784 811.0
1.5 0.8 70.3758243802 521.0
1.5 0.9 52.6776641373 570.0
1.5 1.0 44.6389281788 619.0
1.5 1.1 47.2528324903 547.0
1.5 1.2 52.3844474085 529.0
1.5 1.3 54.9888867371 637.0
1.5 1.4 54.8931358722 574.0
1.5 1.5 75.2778248086 554.0
1.5 1.6 65.129209277 557.0
1.5 1.7 74.8625147199 569.0
1.65 0.8 63.7383992315 450.0
1.65 0.9 59.1585577374 443.0
1.65 1.0 46.7093428772 526.0
1.65 1.1 46.0986664249 483.0
1.65 1.2 46.7054534377 531.0
1.65 1.3 58.0436120152 552.0
1.65 1.4 50.9991485002 861.0
1.65 1.5 58.1709889747 556.0
1.65 1.6 79.5042497085 822.0
1.65 1.7 60.3880831358 450.0
1.6 0.8 71.4986992022 685.0
1.6 0.9 48.3553606518 618.0
1.6 1.0 57.9267002489 317.0
1.6 1.1 61.9571651997 873.0
1.6 1.2 56.4821369081 672.0
1.6 1.3 51.3176597078 641.0
1.6 1.4 53.163439141 680.0
1.6 1.5 69.2063015793 684.0
1.6 1.6 58.3172811801 703.0
1.6 1.7 81.723786126 453.0
1.75 0.8 55.1528978553 532.0
1.75 0.9 59.006107114 538.0
1.75 1.0 50.2276759233 540.0
1.75 1.1 56.2516211462 550.0
1.75 1.2 53.1880866427 517.0
1.75 1.3 53.1391453158 518.0
1.75 1.4 53.9990865531 516.0
1.75 1.5 54.710064706 516.0
1.75 1.6 64.3722579588 517.0
1.75 1.7 70.0720214552 514.0
1.7 0.8 64.0010895318 465.0
1.7 0.9 53.9504057202 476.0
1.7 1.0 49.7451143264 506.0
1.7 1.1 57.0452737627 507.0
1.7 1.2 54.3462451357 541.0
1.7 1.3 58.5457428851 809.0
1.7 1.4 48.4059117179 515.0
1.7 1.5 54.0327950172 546.0
1.7 1.6 72.3959032068 529.0
1.7 1.7 60.4726176082 568.0
1.85 0.8 69.3424051908 609.0
1.85 0.9 50.380908727 579.0
1.85 1.0 53.8286721876 610.0
1.85 1.1 72.0994045761 603.0
1.85 1.2 45.3453909612 564.0
1.85 1.3 51.6433272995 568.0
1.85 1.4 61.6290160295 565.0
1.85 1.5 46.3923170178 640.0
1.85 1.6 67.9903744816 906.0
1.85 1.7 68.4951757114 561.0
1.8 0.8 54.0642033889 556.0
1.8 0.9 55.1469893805 526.0
1.8 1.0 57.4679255285 525.0
1.8 1.1 43.9557234894 740.0
1.8 1.2 43.8624730512 539.0
1.8 1.3 57.5581061506 548.0
1.8 1.4 59.5297693962 307.0
1.8 1.5 52.1509903859 547.0
1.8 1.6 60.2271568901 561.0
1.8 1.7 72.5309366702 829.0
1.95 0.8 60.5816136967 445.0
1.95 0.9 54.2795888288 455.0
1.95 1.0 55.7768656073 463.0
1.95 1.1 62.1104332385 700.0
1.95 1.2 51.5953883315 710.0
1.95 1.3 51.3824273317 556.0
1.95 1.4 50.7249415158 317.0
1.95 1.5 53.2760815774 649.0
1.95 1.6 54.6447463596 523.0
1.95 1.7 61.9368712742 516.0
1.9 0.8 70.4241767876 581.0
1.9 0.9 49.5238304862 576.0
1.9 1.0 42.3941264775 925.0
1.9 1.1 60.929121516 621.0
1.9 1.2 39.5968115048 743.0
1.9 1.3 45.6428794951 613.0
1.9 1.4 49.0104764711 877.0
1.9 1.5 57.65884976 741.0
1.9 1.6 65.2525608999 454.0
1.9 1.7 82.8900889559 948.0
2.05 0.8 59.0923072746 536.0
2.05 0.9 53.8778525131 705.0
2.05 1.0 68.2813209252 948.0
2.05 1.1 52.9400369573 469.0
2.05 1.2 40.7204777791 471.0
2.05 1.3 46.384235754 978.0
2.05 1.4 53.009691295 518.0
2.05 1.5 56.3919629698 695.0
2.05 1.6 50.4684799542 538.0
2.05 1.7 67.890512661 471.0
2.0 0.8 65.5773834103 574.0
2.0 0.9 51.2497208076 525.0
2.0 1.0 65.2644645582 635.0
2.0 1.1 57.2132900719 548.0
2.0 1.2 56.9979757007 522.0
2.0 1.3 60.847175168 527.0
2.0 1.4 52.3772861533 625.0
2.0 1.5 59.7343057447 526.0
2.0 1.6 69.8727572529 644.0
2.0 1.7 67.8560741781 508.0
2.15 0.8 71.4013304511 902.0
2.15 0.9 63.3505063696 616.0
2.15 1.0 52.7444959309 620.0
2.15 1.1 57.0965048304 530.0
2.15 1.2 56.6784925865 526.0
2.15 1.3 51.3887893781 503.0
2.15 1.4 64.9252199216 909.0
2.15 1.5 58.0291448276 709.0
2.15 1.6 58.0267311223 551.0
2.15 1.7 82.0406974439 325.0
2.1 0.8 55.1907981887 457.0
2.1 0.9 55.0039924276 525.0
2.1 1.0 58.8405876163 516.0
2.1 1.1 56.5836919844 518.0
2.1 1.2 48.1813858985 538.0
2.1 1.3 50.5657936372 525.0
2.1 1.4 43.7967882876 537.0
2.1 1.5 61.7729240486 464.0
2.1 1.6 80.1728862915 535.0
2.1 1.7 72.0523444195 534.0
2.2 0.8 71.8768336374 553.0
2.2 0.9 47.0017272671 629.0
2.2 1.0 42.7754954296 595.0
2.2 1.1 53.0211167614 719.0
2.2 1.2 45.3044997786 578.0
2.2 1.3 61.8800070277 718.0
2.2 1.4 54.2324321445 579.0
2.2 1.5 54.2157516314 468.0
2.2 1.6 51.1590716775 477.0
2.2 1.7 58.2941057339 537.0
