string dom time charge
63 16 2630.45825195 1
63 17 1636.11962891 1
63 17 1718.45947266 1
63 17 1727.0324707 1
63 17 2783.03759766 1
63 18 1708.33935547 1
63 18 2274.50463867 1
63 18 2778.92895508 1
63 19 1331.76928711 1
63 19 1486.20727539 1
63 19 1639.82275391 1
63 19 1734.35510254 1
63 19 1777.30969238 1
63 19 1986.08886719 1
63 19 2065.65087891 1
63 20 1131.0480957 1
63 20 1467.55615234 1
63 20 1537.47192383 1
63 20 1547.70666504 1
63 20 1590.47253418 1
63 20 1592.56994629 1
63 20 1595.53881836 1
63 20 1610.59838867 1
63 20 1637.2142334 1
63 20 2116.74682617 1
63 20 2182.35620117 1
63 20 3438.20800781 1
63 21 1028.10717773 1
63 21 1077.43835449 1
63 21 1130.95788574 1
63 21 1143.18103027 1
63 21 1252.7109375 1
63 21 1268.67749023 1
63 21 1276.52209473 1
63 21 1290.28283691 1
63 21 1345.62060547 1
63 21 1384.64001465 1
63 21 1395.83117676 1
63 21 1406.87072754 1
63 21 1441.44799805 1
63 21 1563.9609375 1
63 21 1592.06970215 1
63 21 1600.20690918 1
63 21 1606.96264648 1
63 21 1654.88012695 1
63 21 1889.88708496 1
63 21 1905.37805176 1
63 21 2030.93701172 1
63 21 2309.46850586 1
63 21 2373.3347168 1
63 21 3108.20507812 1
63 22 1010.13824463 1
63 22 1083.18164062 1
63 22 1094.42712402 1
63 22 1103.53234863 1
63 22 1108.31445312 1
63 22 1114.64758301 1
63 22 1118.0892334 1
63 22 1129.69238281 1
63 22 1144.23413086 1
63 22 1184.92053223 1
63 22 1195.19213867 1
63 22 1237.42907715 1
63 22 1252.39782715 1
63 22 1254.35095215 1
63 22 1287.56896973 1
63 22 1290.90258789 1
63 22 1330.6184082 1
63 22 1331.23657227 1
63 22 1348.5065918 1
63 22 1367.04797363 1
63 22 1376.46118164 1
63 22 1388.30834961 1
63 22 1403.1607666 1
63 22 1417.77783203 1
63 22 1418.07287598 1
63 22 1430.87658691 1
63 22 1452.35351562 1
63 22 1459.26733398 1
63 22 1469.73059082 1
63 22 1472.80651855 1
63 22 1624.79931641 1
63 22 1647.78503418 1
63 22 1697.85961914 1
63 22 1883.0423584 1
63 22 1886.35229492 1
63 22 1944.90234375 1
63 22 1977.58837891 1
63 22 1979.22363281 1
63 22 2026.99279785 1
63 22 2087.7487793 1
63 22 2588.27734375 1
63 22 2680.7746582 1
63 22 2758.27050781 1
63 22 2836.41113281 1
63 22 3948.80810547 1
63 23 912.776062012 1
63 23 914.686462402 1
63 23 924.483581543 1
63 23 953.420043945 1
63 23 972.736694336 1
63 23 980.605957031 1
63 23 1012.08642578 1
63 23 1019.46398926 1
63 23 1031.67980957 1
63 23 1036.72387695 1
63 23 1050.18237305 1
63 23 1057.62683105 1
63 23 1062.29675293 1
63 23 1064.12414551 1
63 23 1103.22058105 1
63 23 1150.40881348 1
63 23 1151.26599121 1
63 23 1200.44873047 1
63 23 1207.76098633 1
63 23 1212.6217041 1
63 23 1220.2064209 1
63 23 1223.30053711 1
63 23 1243.51489258 1
63 23 1258.96923828 1
63 23 1260.4375 1
63 23 1261.80187988 1
