string dom time hits
43 26 2716.33447266 1
43 30 2913.88354492 1
44 24 2348.24047852 1
44 27 2885.91845703 1
44 28 1692.91662598 1
44 29 1559.57409668 1
44 33 2355.34033203 1
45 23 1654.42565918 1
45 23 1746.60998535 1
45 25 1982.78955078 1
45 26 1615.25170898 1
45 26 1842.77832031 1
45 26 2171.92358398 1
45 26 3403.89282227 1
45 27 1272.46618652 1
45 27 1493.80249023 1
45 27 2475.07202148 1
45 28 1382.06262207 1
45 28 1648.60681152 1
45 28 1791.60021973 1
45 28 2357.38989258 1
45 29 1486.73999023 1
45 29 1574.30334473 1
45 29 1656.8782959 1
45 29 2178.31591797 1
45 30 1599.94250488 1
45 30 1671.19091797 1
45 30 2073.0637207 1
46 14 2601.79370117 1
46 21 2155.20874023 1
46 24 1997.8392334 1
46 26 1681.88513184 1
46 27 1396.6262207 1
46 27 1869.54882812 1
46 27 1873.70324707 1
46 27 2007.95153809 1
46 28 2081.87255859 1
46 30 2077.76831055 1
47 27 1830.41748047 1
47 29 1986.24841309 1
52 28 2992.66064453 1
53 19 1633.23034668 1
53 23 1441.07250977 1
53 24 1382.7565918 1
53 24 2133.70581055 1
53 25 2216.05566406 1
53 25 2951.24951172 1
53 26 1273.30090332 1
53 26 1381.40600586 1
53 26 2514.0065918 1
53 27 1575.63696289 1
53 27 2123.2421875 1
53 27 2209.67651367 1
53 28 1305.96972656 1
53 28 1460.27453613 1
53 28 2029.73657227 1
53 28 2051.26855469 1
53 29 1193.55163574 1
53 29 1304.1829834 1
53 29 1437.70410156 1
53 29 1546.72302246 1
53 29 1629.11694336 1
53 29 2024.3059082 1
53 29 2546.42773438 1
53 30 1256.3984375 1
53 30 1332.49108887 1
53 30 1425.6965332 1
53 30 1751.20678711 1
53 31 1409.83618164 1
54 17 1617.86425781 1
54 19 1932.62231445 1
54 20 1341.40539551 1
54 20 1519.63598633 1
54 20 1859.63037109 1
54 20 2174.34594727 1
54 20 2555.59667969 1
54 21 1690.97229004 1
54 21 1832.41992188 1
54 21 2165.85693359 1
54 22 1179.15014648 1
54 22 1183.89379883 1
54 22 1429.77758789 1
54 22 1586.28259277 1
54 22 1934.70458984 1
54 22 2183.4050293 1
54 23 1029.77282715 1
54 23 1093.3404541 1
54 23 1111.24414062 1
