string dom time hits
35 28 2518.51098633 1
43 25 2548.38378906 1
43 31 3094.98999023 1
44 20 2118.04248047 1
44 25 2202.046875 1
44 28 1422.41040039 1
44 28 1666.13757324 1
44 29 1778.01159668 1
44 29 2521.32250977 1
44 30 1524.41918945 1
45 20 2585.98388672 1
45 21 1535.33728027 1
45 22 2511.140625 1
45 22 2772.1315918 1
45 23 1987.28564453 1
45 26 2033.96716309 1
45 26 2058.89282227 1
45 26 2376.91259766 1
45 27 1304.87316895 1
45 27 1682.43859863 1
45 28 1272.16809082 1
45 28 1476.71142578 1
45 28 1522.4597168 1
45 28 1729.94750977 1
45 28 1825.2376709 1
45 28 1912.56665039 1
45 28 2173.20727539 1
45 28 2770.125 1
45 29 1423.34716797 1
45 29 1916.98950195 1
45 29 2476.09814453 1
45 30 1494.28442383 1
45 32 1977.10205078 1
46 22 2065.29248047 1
46 26 1687.19360352 1
46 26 1814.25830078 1
46 26 1978.2545166 1
46 26 2278.40307617 1
46 28 1446.98571777 1
46 29 1815.02880859 1
46 30 2352.25244141 1
46 31 1877.24230957 1
47 24 2522.48364258 1
47 26 2288.72192383 1
47 30 2239.75561523 1
53 20 3061.32568359 1
53 23 1589.14318848 1
53 24 1497.28479004 1
53 25 1936.50512695 1
53 25 2103.8996582 1
53 26 1250.79052734 1
53 27 1431.08410645 1
53 27 1524.80419922 1
53 27 2215.60644531 1
53 27 4044.1081543 1
53 28 1325.05700684 1
53 28 1542.50024414 1
53 28 1760.22241211 1
53 29 1454.03344727 1
53 29 1518.89624023 1
53 29 1667.48754883 1
53 30 1449.79748535 1
53 31 1542.10644531 1
53 32 1294.0234375 1
53 32 2325.00610352 1
54 15 2368.49487305 1
54 17 2540.78393555 1
54 18 1805.31848145 1
54 18 2234.04882812 1
54 19 1991.4810791 1
54 21 1153.61804199 1
54 21 1290.58032227 1
54 21 1343.47595215 1
54 21 1554.3470459 1
54 21 1556.36450195 1
54 21 1646.77502441 1
54 21 1961.69335938 1
54 22 1151.09533691 1
54 22 1190.29870605 1
54 22 1238.30761719 1
54 22 1239.29309082 1
54 22 1264.91503906 1
54 22 1341.91064453 1
54 22 1345.5078125 1
54 22 1386.61621094 1
54 22 1484.21972656 1
54 22 1829.3182373 1
54 22 2083.56616211 1
54 22 2189.39916992 1
54 22 2446.02441406 1
54 22 2563.35400391 1
54 23 1104.52111816 1
54 23 1288.20666504 1
54 23 1337.54089355 1
54 23 1403.6517334 1
54 23 1483.66955566 1
54 23 1556.1036377 1
54 23 1715.33325195 1
54 23 1824.50170898 1
54 23 2819.37109375 1
54 23 2864.17578125 1
54 24 950.986572266 1
54 24 955.746704102 1
54 24 957.53503418 1
54 24 959.815368652 1
54 24 1086.57458496 1
54 24 1141.15576172 1
54 24 1143.63928223 1
54 24 1170.65490723 1
54 24 1195.11193848 1
54 24 1203.56787109 1
54 24 1212.05444336 1
54 24 1291.99279785 1
54 24 1479.07739258 1
54 24 1570.64648438 1
54 24 1666.74267578 1
54 24 2559.28320312 1
54 24 2746.54980469 1
54 25 810.211364746 1
54 25 842.345703125 1
54 25 883.39074707 1
54 25 911.021362305 1
54 25 923.872192383 1
54 25 926.034057617 1
54 25 967.465942383 1
54 25 989.593811035 1
54 25 989.712219238 1
54 25 991.712341309 1
54 25 995.001342773 1
54 25 1024.07714844 1
54 25 1041.80383301 1
54 25 1044.09887695 1
54 25 1075.00231934 1
54 25 1086.4744873 1
54 25 1131.30090332 1
54 25 1239.4041748 1
54 25 1259.28588867 1
54 25 1278.58972168 1
54 25 1292.89477539 1
54 25 1300.96130371 1
54 25 1337.68200684 1
54 25 1494.96618652 1
54 25 1533.77416992 1
54 25 1671.0715332 1
54 25 1711.40136719 1
54 25 1839.16992188 1
54 25 1912.5826416 1
54 25 1943.45275879 1
54 25 2049.65258789 1
54 25 2082.3203125 1
54 25 2130.27124023 1
54 25 2130.28417969 1
54 26 709.034179688 1
54 26 717.973815918 1
54 26 733.352905273 1
54 26 754.936462402 1
54 26 760.836486816 1
54 26 781.818115234 1
54 26 782.149658203 1
54 26 782.61517334 1
54 26 783.11730957 1
54 26 790.76361084 1
54 26 808.54107666 1
54 26 812.394104004 1
54 26 813.060852051 1
54 26 832.511901855 1
54 26 836.817016602 1
54 26 838.919067383 1
54 26 842.287353516 1
54 26 850.035705566 1
54 26 882.017028809 1
54 26 887.843994141 1
54 26 887.907043457 1
54 26 888.061889648 1
54 26 894.234985352 1
54 26 899.822937012 1
54 26 901.07824707 1
54 26 913.733337402 1
54 26 926.367431641 1
54 26 934.879638672 1
54 26 955.355102539 1
54 26 957.661254883 1
54 26 963.694641113 1
54 26 963.759155273 1
54 26 964.039978027 1
54 26 967.020019531 1
54 26 982.475463867 1
54 26 985.322631836 1
54 26 992.252868652 1
54 26 1011.28857422 1
54 26 1026.609375 1
54 26 1030.69128418 1
54 26 1031.33666992 1
54 26 1049.72729492 1
54 26 1062.4140625 1
54 26 1079.18164062 1
54 26 1090.85571289 1
54 26 1102.94226074 1
54 26 1103.13684082 1
54 26 1175.08105469 1
54 26 1196.09814453 1
54 26 1201.63964844 1
54 26 1205.8651123 1
54 26 1248.55480957 1
54 26 1249.50036621 1
54 26 1294.8560791 1
54 26 1307.16381836 1
54 26 1330.51550293 1
54 26 1371.02880859 1
54 26 1395.02038574 1
54 26 1504.93908691 1
54 26 1581.24462891 1
54 26 1661.3371582 1
54 26 1692.50158691 1
54 26 1803.26098633 1
54 26 1968.19958496 1
54 26 2200.95385742 1
54 26 2879.23193359 1
54 27 694.899169922 1
54 27 697.632263184 1
54 27 724.747924805 1
54 27 728.321960449 1
54 27 731.742370605 1
54 27 737.718933105 1
54 27 738.559143066 1
54 27 747.132385254 1
54 27 755.636901855 1
54 27 762.197570801 1
54 27 775.243652344 1
54 27 785.661193848 1
54 27 786.993286133 1
54 27 797.589416504 1
54 27 799.316711426 1
54 27 804.312683105 1
54 27 804.530395508 1
54 27 811.180114746 1
54 27 811.640075684 1
54 27 814.024169922 1
54 27 816.44934082 1
54 27 818.627685547 1
54 27 821.481506348 1
54 27 824.871154785 1
54 27 831.69519043 1
54 27 832.274963379 1
54 27 840.967712402 1
