string dom time hits
36 29 2986.17431641 1
43 25 2548.38378906 1
44 21 1960.90270996 1
44 25 1967.49951172 1
44 25 2202.10913086 1
44 25 2843.08398438 1
44 28 1419.47973633 1
44 28 1639.5769043 1
44 28 1829.42504883 1
44 29 2134.12304688 1
44 29 2521.32250977 1
45 20 2103.68676758 1
45 21 2211.89404297 1
45 21 2337.80517578 1
45 22 2772.1315918 1
45 23 1659.01757812 1
45 26 1331.84802246 1
45 26 1819.77758789 1
45 26 2058.97412109 1
45 27 1229.6529541 1
45 27 1365.78234863 1
45 27 1574.60876465 1
45 27 1866.15856934 1
45 27 2157.97851562 1
45 28 1378.26538086 1
45 28 1428.7701416 1
45 28 1811.07128906 1
45 28 1996.26342773 1
45 31 1436.45678711 1
45 31 1757.17236328 1
45 31 1997.51977539 1
45 31 2221.78076172 1
46 19 2558.6862793 1
46 25 2322.29638672 1
46 26 1814.25830078 1
46 28 1767.35205078 1
46 28 1803.05493164 1
46 29 1941.85266113 1
46 31 1797.9864502 1
47 23 3159.12548828 1
53 23 1865.50524902 1
53 25 1893.7734375 1
53 26 1238.22729492 1
53 26 1547.22338867 1
53 26 1795.53222656 1
53 26 2001.58581543 1
53 27 1227.68225098 1
53 27 1307.89477539 1
53 27 1497.48730469 1
53 27 1609.10009766 1
53 28 1112.04248047 1
53 28 1428.70495605 1
53 28 1452.72412109 1
53 28 1630.45153809 1
53 28 1657.27648926 1
53 28 1738.42736816 1
53 28 2006.70776367 1
53 29 1378.26635742 1
53 31 1933.93884277 1
53 31 2039.47033691 1
54 20 1103.55102539 1
54 20 1351.02905273 1
54 20 1764.54785156 1
54 20 1775.77563477 1
54 20 1963.82141113 1
54 21 1325.2623291 1
54 21 1611.34570312 1
54 21 1752.64257812 1
54 21 1792.97802734 1
54 22 1111.65710449 1
54 22 1180.06982422 1
54 22 1201.50402832 1
54 22 1309.73071289 1
54 22 1309.84533691 1
54 22 1371.81994629 1
54 22 1381.78662109 1
54 22 1416.50219727 1
54 22 1438.13708496 1
54 22 1454.69580078 1
54 22 1572.55786133 1
54 22 1665.12255859 1
54 22 2446.02441406 1
54 23 983.012023926 1
54 23 1055.75622559 1
54 23 1163.45227051 1
54 23 1185.55639648 1
54 23 1201.57800293 1
54 23 1214.28833008 1
54 23 1237.56103516 1
54 23 1317.74511719 1
54 23 1324.27246094 1
54 23 1701.83117676 1
54 23 1857.44067383 1
54 24 915.458496094 1
54 24 920.527770996 1
54 24 942.911376953 1
54 24 944.617614746 1
54 24 1013.60369873 1
54 24 1016.01525879 1
54 24 1039.10717773 1
54 24 1046.18371582 1
54 24 1049.60351562 1
54 24 1076.30725098 1
54 24 1143.63928223 1
54 24 1195.11193848 1
54 24 1200.83654785 1
54 24 1237.60510254 1
54 24 1275.02502441 1
54 24 1301.66210938 1
54 24 1357.05883789 1
54 24 1402.79382324 1
54 24 1435.18249512 1
54 24 1620.15551758 1
54 24 1788.36010742 1
54 24 2163.17089844 1
54 24 2211.43676758 1
54 25 835.803710938 1
54 25 874.570068359 1
54 25 887.92175293 1
54 25 945.17364502 1
54 25 946.8828125 1
54 25 957.668518066 1
54 25 1015.29266357 1
54 25 1039.77294922 1
54 25 1041.80383301 1
54 25 1051.75134277 1
54 25 1063.02392578 1
54 25 1076.14929199 1
54 25 1085.7322998 1
54 25 1103.78735352 1
54 25 1116.37268066 1
54 25 1159.20080566 1
54 25 1173.73327637 1
54 25 1214.9185791 1
54 25 1509.62792969 1
54 25 1523.17456055 1
54 25 1554.22595215 1
54 25 1566.49133301 1
